2011-04-26,万方发展,90.1344688111111,4.4325,综合
2016-05-04,长源电力,0.9974311333333291,6.7929005999999985,公用事业
2016-05-05,长源电力,1.6336480333333334,6.7929005999999985,公用事业
2016-05-06,长源电力,1.5400864333333324,6.792900599999999,公用事业
2016-05-07,长源电力,2.5879750333333327,6.6483707999999995,公用事业
2016-05-10,长源电力,2.494413433333332,6.6483707999999995,公用事业
2016-05-11,长源电力,2.4756991333333325,6.53033813,公用事业
2016-05-12,长源电力,2.625400333333332,6.5471999400000005,公用事业
2016-05-13,长源电力,1.9143328333333332,6.47011738,公用事业
2016-05-14,长源电力,2.2885792333333304,6.58333239,公用事业
2016-05-17,长源电力,1.876907533333334,6.58333239,公用事业
2016-05-18,长源电力,2.0640307333333325,6.66041495,公用事业
2016-05-19,长源电力,2.6628223333333345,6.48457036,公用事业
2016-05-20,长源电力,2.8686598333333317,6.479752700000001,公用事业
2016-05-21,长源电力,2.68153663333333,6.407487799999999,公用事业
2016-05-24,长源电力,2.382140833333331,6.407487799999999,公用事业
2016-05-25,长源电力,2.8312345333333298,6.47493504,公用事业
2016-05-26,长源电力,3.0370687333333315,6.4556644,公用事业
2016-05-27,长源电力,3.1119193333333333,6.3255875800000005,公用事业
2016-05-28,长源电力,3.1867666333333315,6.3424493900000005,公用事业
2016-05-31,长源电力,3.205480933333334,6.3424493900000005,公用事业
2016-06-01,长源电力,2.1950176333333324,6.48457036,公用事业
2016-06-02,长源电力,2.1014560333333314,6.6218736699999985,公用事业
2016-06-03,长源电力,2.1388780333333344,6.60742069,公用事业
2016-06-04,长源电力,1.6897843333333316,6.71340921,公用事业
2016-06-07,长源电力,1.839482233333332,6.71340921,公用事业
2016-06-08,长源电力,1.9330438333333329,6.65318846,公用事业
2016-06-09,长源电力,2.082741733333332,6.60742069,公用事业
2016-06-14,长源电力,3.055779733333331,6.60742069,公用事业
2016-06-15,长源电力,3.0370687333333315,6.36653769,公用事业
2016-06-16,长源电力,2.40085183333333,6.46048206,公用事业
2016-06-17,长源电力,2.251153933333331,6.5303381300000005,公用事业
2016-06-18,长源电力,0.3986395333333341,7.01210413,公用事业
2016-06-21,长源电力,0.8664442333333291,7.01210413,公用事业
2016-06-22,长源电力,1.7084986333333312,6.88684497,公用事业
2016-06-23,长源电力,1.7084986333333312,6.70618272,公用事业
2016-06-24,长源电力,3.0932050333333336,6.6027260499999985,公用事业
2016-06-25,长源电力,3.7294219333333314,6.36708973,公用事业
2016-06-28,长源电力,3.691999933333332,6.36708973,公用事业
2016-06-29,长源电力,3.654574633333328,6.3032715600000015,公用事业
2016-06-30,长源电力,3.804272533333332,6.32781701,公用事业
2016-07-01,长源电力,3.504876733333329,6.36708973,公用事业
2016-07-02,长源电力,3.691999933333332,6.36708973,公用事业
2016-07-05,长源电力,3.4674514333333306,6.36708973,公用事业
2016-07-06,长源电力,3.1306303333333325,6.44563517,公用事业
2016-07-07,长源电力,3.355178833333333,6.4259988099999985,公用事业
2016-07-08,长源电力,3.579724033333332,6.381817,公用事业
2016-07-09,长源电力,3.5422987333333325,6.36218064,公用事业
2016-07-12,长源电力,3.579724033333332,6.36218064,公用事业
2016-07-13,长源电力,3.018357733333332,6.42108972,公用事业
2016-07-14,长源电力,2.569260733333333,6.607635139999998,公用事业
2016-07-15,长源电力,2.68153663333333,6.58799878,公用事业
2016-07-16,长源电力,2.6066860333333324,6.64199877,公用事业
2016-07-19,长源电力,2.7938092333333313,6.64199877,公用事业
2016-07-20,长源电力,2.494413433333332,6.6272715,公用事业
2016-07-21,长源电力,2.756383933333332,6.59290787,公用事业
2016-07-22,长源电力,2.756383933333332,6.6027260499999985,公用事业
2016-07-23,长源电力,3.0932050333333336,6.53890788,公用事业
2016-07-26,长源电力,2.8686598333333317,6.53890788,公用事业
2016-07-27,长源电力,2.6066860333333324,6.58308969,公用事业
2016-07-28,长源电力,3.280328233333332,6.53890788,公用事业
2016-07-29,长源电力,2.232439633333332,6.55363515,公用事业
2016-07-30,长源电力,2.0453197333333333,6.8285441900000015,公用事业
