2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2016-05-05,长源电力,6.7929006,1.6336480333333334,ROE,27.83083333333333,PE,7.938541,公用事业
2016-05-25,长源电力,6.7929006,2.8312345333333298,ROE,27.83083333333333,PE,7.575636,公用事业
2016-06-04,长源电力,6.4556644,1.689784333333332,ROE,27.83083333333333,PE,7.92153,公用事业
2016-06-14,长源电力,6.71340921,3.055779733333331,ROE,27.83083333333333,PE,7.507592,公用事业
2016-06-24,长源电力,6.3665376899999995,3.0932050333333336,ROE,27.83083333333333,PE,7.496251,公用事业
2016-07-14,长源电力,6.36708973,2.5692607333333335,ROE,27.83083333333333,PE,7.655022,公用事业
2016-08-03,长源电力,6.5879987799999995,2.1575923333333336,ROE,27.83083333333333,PE,7.77977,公用事业
2016-08-13,长源电力,6.70581694,2.307290233333333,ROE,27.83083333333333,PE,7.734407,公用事业
2016-08-23,长源电力,6.6272715,2.0078944333333304,ROE,27.83083333333333,PE,7.825133,公用事业
2016-09-02,长源电力,6.774544199999999,-3.2779260666666694,ROE,22.40603333333333,PE,7.783018,公用事业
2016-09-22,长源电力,6.36708973,-2.6466756666666704,ROE,22.40603333333333,PE,7.59173,公用事业
2016-10-12,长源电力,6.249271569999999,-2.6466756666666704,ROE,22.40603333333333,PE,7.59173,公用事业
2016-10-22,长源电力,6.2443624799999995,-2.7255819666666703,ROE,22.40603333333333,PE,7.615641,公用事业
2016-11-01,长源电力,6.259089749999999,-10.57969746666667,ROE,22.40603333333333,PE,9.995676,公用事业
2016-11-11,长源电力,6.254180659999999,-9.568027211111112,ROE,23.15878888888889,PE,9.917217,公用事业
2016-12-01,长源电力,6.20508976,-10.448338511111107,ROE,23.15878888888889,PE,10.183978,公用事业
2016-12-21,长源电力,6.3179988300000005,-8.169889811111108,ROE,23.15878888888889,PE,9.493539,公用事业
2016-12-31,长源电力,5.94490799,-8.118106211111112,ROE,23.15878888888889,PE,9.477847,公用事业
2017-01-10,长源电力,5.92036254,-8.998414211111108,ROE,23.15878888888889,PE,9.744607,公用事业
2017-01-20,长源电力,6.087271599999999,-7.755624311111113,ROE,23.15878888888889,PE,9.368004,公用事业
2017-02-09,长源电力,5.87127164,-7.030663811111111,ROE,23.15878888888889,PE,9.148319,公用事业
2017-03-01,长源电力,5.75836257,-7.80740791111111,ROE,23.15878888888889,PE,9.383696,公用事业
2017-03-11,长源电力,5.88108982,-7.548493211111108,ROE,23.15878888888889,PE,9.305237,公用事业
2017-03-21,长源电力,5.83690801,-7.85919151111111,ROE,23.15878888888889,PE,9.399388,公用事业
2017-03-31,长源电力,5.87127164,-7.548493211111108,ROE,23.15878888888889,PE,9.305237,公用事业
2017-04-20,长源电力,5.85163528,-30.306834311111107,ROE,23.15878888888889,PE,16.201704,公用事业
2017-05-10,长源电力,5.67981713,-103.15773949999999,ROE,11.979639999999998,PE,34.890115,公用事业
2017-05-20,长源电力,4.72745367,-101.7450095,ROE,11.979639999999998,PE,34.462015,公用事业
2017-06-09,长源电力,4.707817309999999,-107.39592289999999,ROE,11.979639999999998,PE,36.174413,公用事业
2017-06-29,长源电力,4.90909,-103.39319119999999,ROE,11.979639999999998,PE,34.961464,公用事业
2017-07-19,长源电力,4.885,-93.0331844,ROE,11.979639999999998,PE,31.822068,公用事业
2017-07-29,长源电力,4.470000000000001,-98.44864279999999,ROE,11.979639999999998,PE,33.463116,公用事业
2017-08-08,长源电力,4.67,-101.9804645,ROE,11.979639999999998,PE,34.533365,公用事业
2017-08-18,长源电力,4.8149999999999995,-99.86137279999998,ROE,11.979639999999998,PE,33.891216,公用事业
2017-09-07,长源电力,4.77,-6129.9780506,ROE,8.323839999999999,PE,1860.091482,公用事业
2017-09-27,长源电力,5.015,-5679.3487451,ROE,8.323839999999999,PE,1723.537147,公用事业
2017-10-17,长源电力,4.675000000000001,-5630.632062799999,ROE,8.323839999999999,PE,1708.774516,公用事业
2017-10-27,长源电力,4.625,-5581.9153805,ROE,8.323839999999999,PE,1694.011885,公用事业
2017-11-16,长源电力,4.585,-1002,ROE,0,PE,0,公用事业
2017-12-06,长源电力,4.484999999999999,-1002,ROE,0,PE,0,公用事业
2017-12-16,长源电力,3.915,-1002,ROE,0,PE,0,公用事业
2017-12-26,长源电力,3.94,-1002,ROE,0,PE,0,公用事业
2018-01-05,长源电力,3.82,-1002,ROE,0,PE,0,公用事业
2018-01-25,长源电力,3.9899999999999998,-1002,ROE,0,PE,0,公用事业
2018-02-14,长源电力,3.84,-1002,ROE,0,PE,0,公用事业
2018-02-24,长源电力,3.1550000000000002,-1002,ROE,0,PE,0,公用事业
2018-03-06,长源电力,3.19,-1002,ROE,0,PE,0,公用事业
2018-03-16,长源电力,3.33,-1002,ROE,0,PE,0,公用事业
2018-04-05,长源电力,3.48,-1002,ROE,0,PE,0,公用事业
2018-04-25,长源电力,3.48,-1002,ROE,0,PE,0,公用事业
2018-05-05,长源电力,3.1799999999999997,-1002,ROE,0,PE,0,公用事业
2018-05-15,长源电力,3.25,-1002,ROE,0,PE,0,公用事业
2018-05-25,长源电力,3.26,-1002,ROE,0,PE,0,公用事业
2018-06-14,长源电力,3.355,-1002,ROE,0,PE,0,公用事业
2018-07-04,长源电力,2.99,-1002,ROE,0,PE,0,公用事业
2018-07-14,长源电力,2.8099999999999996,-1002,ROE,0,PE,0,公用事业
2018-07-24,长源电力,2.79,-1002,ROE,0,PE,0,公用事业
2018-08-03,长源电力,2.92,-1002,ROE,0,PE,0,公用事业
2018-08-23,长源电力,2.885,-1002,ROE,0,PE,0,公用事业
2018-09-12,长源电力,2.8,-1002,ROE,0,PE,0,公用事业
2018-09-22,长源电力,2.875,-1002,ROE,0,PE,0,公用事业
2018-10-12,长源电力,2.88,-1002,ROE,0,PE,0,公用事业
2018-11-01,长源电力,2.46,-1002,ROE,0,PE,0,公用事业
2018-11-21,长源电力,2.665,-1002,ROE,0,PE,0,公用事业
2018-12-01,长源电力,3.535,-1002,ROE,0,PE,0,公用事业
2018-12-11,长源电力,3.07,-1002,ROE,0,PE,0,公用事业
2018-12-21,长源电力,3.2199999999999998,-1002,ROE,0,PE,0,公用事业
2019-01-10,长源电力,3.425,-1002,ROE,0,PE,0,公用事业
2019-01-30,长源电力,3.705,-1002,ROE,0,PE,0,公用事业
2019-02-19,长源电力,3.61,-1002,ROE,0,PE,0,公用事业
2019-03-01,长源电力,3.8499999999999996,-1002,ROE,0,PE,0,公用事业
2019-03-21,长源电力,4.17,-1002,ROE,0,PE,0,公用事业
2019-04-10,长源电力,4.3149999999999995,-1002,ROE,0,PE,0,公用事业
2019-04-20,长源电力,4.75,-107.42979825555555,ROE,3.6819244444444443,PE,33.670219,公用事业
2019-04-30,长源电力,6.505,-49.62211425555556,ROE,3.6819244444444443,PE,16.152739,公用事业
