2011-04-26,万方发展,90.1344688111111,4.4325,综合
2011-08-17,三一重工,0.3041880666666685,15.404353875,机械设备
2011-08-18,三一重工,0.5062899666666709,15.404353875,机械设备
2011-08-19,三一重工,1.4301843666666727,15.251613125,机械设备
2011-08-20,三一重工,1.9210032666666663,14.766436625,机械设备
2011-08-23,三一重工,3.4223316666666714,14.766436625,机械设备
2011-08-24,三一重工,2.7294108666666688,14.505878875,机械设备
2011-08-25,三一重工,3.16248636666667,14.6451425,机械设备
2011-08-26,三一重工,1.747773066666667,14.694558625,机械设备
2011-08-27,三一重工,2.325207066666664,14.784406125,机械设备
2011-08-30,三一重工,3.306844866666665,14.784406125,机械设备
2011-08-31,三一重工,3.335716566666669,14.54631025,机械设备
2011-09-01,三一重工,3.1336146666666664,14.483417000000001,机械设备
2011-09-02,三一重工,3.3759983333333423,14.49240175,机械设备
2011-09-03,三一重工,3.1161530333333403,14.591234,机械设备
2011-09-06,三一重工,4.155534233333333,14.591234,机械设备
2011-09-07,三一重工,5.223790433333342,13.894915875,机械设备
2011-09-08,三一重工,4.501997933333335,13.993748125,机械设备
2011-09-09,三一重工,5.166047033333342,14.01621,机械设备
2011-09-10,三一重工,5.57025083333334,13.867961625,机械设备
2011-09-14,三一重工,6.320915033333336,13.867961625,机械设备
2011-09-15,三一重工,6.292043333333338,13.43220125,机械设备
2011-09-16,三一重工,6.551888633333341,13.571464875,机械设备
2011-09-17,三一重工,6.292043333333338,13.5669725,机械设备
2011-09-20,三一重工,6.811733933333336,13.5669725,机械设备
2011-09-21,三一重工,6.263171633333336,13.4950945,机械设备
2011-09-22,三一重工,4.126662533333338,13.814053125,机械设备
2011-09-23,三一重工,5.599122533333343,13.876946375,机械设备
2011-09-24,三一重工,6.032198033333343,13.454663125,机械设备
2011-09-27,三一重工,6.667375433333341,13.454663125,机械设备
2011-09-28,三一重工,6.0610697333333405,13.54001825,机械设备
2011-09-29,三一重工,6.551888633333341,13.580449625,机械设备
2011-09-30,三一重工,7.013835833333339,13.364815625,机械设备
2011-10-01,三一重工,8.11096043333334,13.122227375,机械设备
2011-10-11,三一重工,8.082088733333343,13.122227375,机械设备
2011-10-12,三一重工,7.879986833333334,13.131212125,机械设备
2011-10-13,三一重工,6.4075301333333385,13.212074875,机械设备
2011-10-14,三一重工,6.23429993333334,13.6029115,机械设备
2011-10-15,三一重工,6.436401833333335,13.52204875,机械设备
2011-10-18,三一重工,5.8012244333333385,13.52204875,机械设备
2011-10-19,三一重工,7.187066033333338,13.427708875,机械设备
2011-10-20,三一重工,7.562398133333338,13.230044375,机械设备
2011-10-21,三一重工,8.775009533333339,12.870654375,机械设备
2011-10-22,三一重工,9.814390733333333,12.610096625,机械设备
2011-10-25,三一重工,9.121469933333335,12.610096625,机械设备
2011-10-26,三一重工,8.428549133333334,12.672989875,机械设备
2011-10-27,三一重工,7.158194333333341,13.12671975,机械设备
