2011-04-26,万方发展,90.1344688111111,4.4325,综合
2011-10-01,徐工机械,0.4815229333333377,5.756770435,机械设备
2011-10-11,徐工机械,0.6797902333333425,5.756770435,机械设备
2011-10-12,徐工机械,1.382739733333338,5.65819024,机械设备
2011-10-13,徐工机械,0.3193048333333337,5.590905345,机械设备
2011-10-14,徐工机械,-0.14932816666666324,5.766159025,机械设备
2011-10-15,徐工机械,0.8780608333333362,5.664449299999999,机械设备
2011-10-18,徐工机械,1.8693973333333391,5.664449299999999,机械设备
2011-10-19,徐工机械,3.52763413333334,5.274822815,机械设备
2011-10-20,徐工机械,3.7259014333333416,5.157465439999998,机械设备
2011-10-21,徐工机械,4.663167433333342,4.95717552,机械设备
2011-10-22,徐工机械,5.185874233333339,4.905538275,机械设备
2011-10-25,徐工机械,4.591069033333341,4.905538275,机械设备
2011-10-26,徐工机械,4.158485233333342,4.97908223,机械设备
2011-10-27,徐工机械,3.6718309333333368,5.121475845,机械设备
2011-10-28,徐工机械,3.96021793333334,5.130864435,机械设备
2011-10-29,徐工机械,3.1491241333333377,5.174677855,机械设备
2011-11-01,徐工机械,3.219707833333341,5.174677855,机械设备
2011-11-02,徐工机械,1.3976735666666684,5.188760739999998,机械设备
2011-11-03,徐工机械,1.1626409666666646,5.093310075,机械设备
2011-11-04,徐工机械,0.6021788666666659,5.33584865,机械设备
2011-11-05,徐工机械,0.4756238666666697,5.324895294999999,机械设备
2011-11-08,徐工机械,1.0541666666666636,5.324895294999999,机械设备
2011-11-09,徐工机械,1.3253573666666654,5.22944463,机械设备
2011-11-10,徐工机械,0.8191340666666704,5.24196275,机械设备
2011-11-11,徐工机械,0.8191340666666704,5.27951711,机械设备
2011-11-12,徐工机械,1.9400582666666644,5.1324292,机械设备
2011-11-15,徐工机械,1.488073766666666,5.1324292,机械设备
2011-11-16,徐工机械,1.1264828666666666,5.18250168,机械设备
2011-11-17,徐工机械,2.1027713666666656,5.15120638,机械设备
2011-11-18,徐工机械,2.247407066666668,5.0651443050000005,机械设备
2011-11-19,徐工机械,3.097140566666664,4.924315455,机械设备
2011-11-22,徐工机械,3.6033638666666654,4.924315455,机械设备
2011-11-23,徐工机械,4.3988585666666635,4.67864735,机械设备
2011-11-24,徐工机械,4.923162566666669,4.620751045,机械设备
2011-11-25,徐工机械,4.670052566666668,4.548771855,机械设备
2011-11-26,徐工机械,4.670052566666668,4.61292722,机械设备
2011-11-29,徐工机械,5.537863466666668,4.61292722,机械设备
2011-11-30,徐工机械,4.8689237666666685,4.529994675,机械设备
2011-12-01,徐工机械,6.333358166666668,4.417331595,机械设备
2011-12-02,徐工机械,5.772896066666667,4.479922195,机械设备
2011-12-03,徐工机械,6.5322326666666655,4.33752858,机械设备
2011-12-06,徐工机械,7.309646666666667,4.33752858,机械设备
