2011-04-26,万方发展,90.1344688111111,4.4325,综合
2011-10-21,中材国际,0.5767566333333392,9.24079958,建筑装饰
2011-10-22,中材国际,0.18489813333333416,9.24079958,建筑装饰
2011-10-25,中材国际,-0.7359668666666651,9.24079958,建筑装饰
2011-10-26,中材国际,-2.5581014666666637,9.81115754,建筑装饰
2011-10-27,中材国际,-2.9891441666666623,10.22391659,建筑装饰
2011-10-28,中材国际,-2.479729766666658,10.19389775,建筑装饰
2011-10-29,中材国际,-4.198627166666668,10.40152806,建筑装饰
2011-11-01,中材国际,-4.631270366666662,10.40152806,建筑装饰
2011-11-02,中材国际,-5.037544199999999,10.43404847,建筑装饰
2011-11-03,中材国际,-4.9982148,10.2314213,建筑装饰
2011-11-04,中材国际,-6.0208220999999975,10.7067196,建筑装饰
2011-11-05,中材国际,-6.728780999999998,11.00440643,建筑装饰
2011-11-08,中材国际,-5.234201099999994,11.00440643,建筑装饰
2011-11-09,中材国际,-4.368914699999999,10.46156574,建筑装饰
2011-11-10,中材国际,-4.9982148,10.43404847,建筑装饰
2011-11-11,中材国际,-3.7986153000000016,10.3064684,建筑装饰
2011-11-12,中材国际,-3.247980599999998,10.1313585,建筑装饰
2011-11-15,中材国际,-3.247980599999998,10.1313585,建筑装饰
2011-11-16,中材国际,-5.981489400000001,10.51660028,建筑装饰
2011-11-17,中材国际,-4.624569000000001,10.61416151,建筑装饰
2011-11-18,中材国际,-5.824165199999997,10.57413639,建筑装饰
2011-11-19,中材国际,-4.958882099999997,10.4815783,建筑装饰
2011-11-22,中材国际,-4.565571599999998,10.4815783,建筑装饰
2011-11-23,中材国际,-4.467244799999996,10.27394799,建筑装饰
2011-11-24,中材国际,-3.582293700000001,10.24893229,建筑装饰
2011-11-25,中材国际,-2.4416948999999946,9.88620464,建筑装饰
2011-11-26,中材国际,-2.559686399999997,9.90371563,建筑装饰
2011-11-29,中材国际,-1.1044358999999986,9.90371563,建筑装饰
2011-11-30,中材国际,-3.5036315999999985,9.956248599999999,建筑装饰
2011-12-01,中材国际,-1.222430700000004,9.79864969,建筑装饰
2011-12-02,中材国际,-2.520356999999997,9.94624232,建筑装饰
2011-12-03,中材国际,-1.3010927999999993,9.63854921,建筑装饰
2011-12-06,中材国际,0.4884708000000018,9.63854921,建筑装饰
2011-12-07,中材国际,0.05583090000000368,9.15324463,建筑装饰
2011-12-08,中材国际,-0.18015539999999675,9.26831685,建筑装饰
2011-12-09,中材国际,-0.4751390999999998,9.24079958,建筑装饰
2011-12-10,中材国际,0.2918172000000041,9.255809,建筑装饰
2011-12-13,中材国际,0.9801114000000056,9.255809,建筑装饰
2011-12-14,中材国际,1.9043919,8.84805309,建筑装饰
2011-12-15,中材国际,2.7893396999999998,8.56787725,建筑装饰
2011-12-16,中材国际,4.5592386000000005,8.235168439999999,建筑装饰
2011-12-17,中材国际,3.379307100000005,8.18513704,建筑装饰
2011-12-20,中材国际,3.0449907,8.18513704,建筑装饰
2011-12-21,中材国际,3.379307100000005,8.49032858,建筑装饰
2011-12-22,中材国际,4.441243800000006,8.27519356,建筑装饰
2011-12-23,中材国际,4.0676013,8.03254127,建筑装饰
2011-12-24,中材国际,3.1039881000000022,8.330228100000001,建筑装饰
2011-12-27,中材国际,3.4383012000000046,8.330228100000001,建筑装饰
2011-12-28,中材国际,4.7165628000000055,8.18763861,建筑装饰
2011-12-29,中材国际,5.503183800000002,7.82741253,建筑装饰
2011-12-30,中材国际,6.034153800000002,7.74986386,建筑装饰
2011-12-31,中材国际,5.2475328000000045,7.77487956,建筑装饰
2012-01-05,中材国际,6.624121200000001,7.77487956,建筑装饰
2012-01-06,中材国际,6.722448000000004,7.4046471999999985,建筑装饰
2012-01-07,中材国际,7.351744800000002,7.27456556,建筑装饰
2012-01-10,中材国际,6.014489100000002,7.27456556,建筑装饰
2012-01-11,中材国际,3.8709443999999986,7.97250359,建筑装饰
2012-01-12,中材国际,3.1433207999999984,8.47782073,建筑装饰
2012-01-13,中材国际,3.2416476000000003,8.49533172,建筑装饰
2012-01-14,中材国际,4.519905900000001,8.24267315,建筑装饰
2012-01-17,中材国际,5.345859600000002,8.24267315,建筑装饰
2012-01-18,中材国际,2.3173671000000056,8.21265431,建筑装饰
2012-01-19,中材国际,2.002718700000002,8.795520119999999,建筑装饰
2012-01-20,中材国际,0.6457949999999997,8.85305623,建筑装饰
2012-01-21,中材国际,-0.0031664999999989622,9.22579016,建筑装饰
2012-01-31,中材国际,0.9407787000000029,9.22579016,建筑装饰
2012-02-01,中材国际,0.7047924000000023,8.908090770000003,建筑装饰
2012-02-02,中材国际,1.963386000000007,8.85805937,建筑装饰
2012-02-03,中材国际,1.0587735000000078,8.82053582,建筑装饰
2012-02-04,中材国际,1.0587735000000078,8.95061746,建筑装饰
2012-02-07,中材国际,-0.21948809999999952,8.95061746,建筑装饰
2012-02-08,中材国际,1.6880702999999997,8.98814101,建筑装饰
2012-02-09,中材国际,0.5278034999999974,8.85305623,建筑装饰
2012-02-10,中材国际,0.6457949999999997,9.06819125,建筑装饰
2012-02-11,中材国际,0.6457949999999997,9.12072422,建筑装饰
2012-02-14,中材国际,0.7637898000000051,9.12072422,建筑装饰
2012-02-15,中材国际,0.9604434000000026,8.97313159,建筑装饰
2012-02-16,中材国际,-0.16049069999999688,9.080699099999999,建筑装饰
2012-02-17,中材国际,0.4098086999999993,9.15074306,建筑装饰
2012-02-18,中材国际,0.901449300000003,9.04817869,建筑装饰
2012-02-21,中材国际,0.9801114000000056,9.04817869,建筑装饰
2012-02-22,中材国际,0.311481900000004,8.99314415,建筑装饰
2012-02-23,中材国际,-1.7337326999999974,9.39839849,建筑装饰
2012-02-24,中材国际,-1.8910568999999957,9.67607276,建筑装饰
2012-02-25,中材国际,-3.051323699999997,9.80365283,建筑装饰
2012-02-28,中材国际,-2.756343299999997,9.80365283,建筑装饰
2012-02-29,中材国际,-1.9303895999999978,9.763627710000002,建筑装饰
2012-03-01,中材国际,-0.8684495999999982,9.51847385,建筑装饰
2012-03-02,中材国际,-0.9471116999999936,9.44092518,建筑装饰
2012-03-03,中材国际,-1.6354058999999952,9.60352723,建筑装饰
2012-03-06,中材国际,-0.7111254000000002,9.60352723,建筑装饰
2012-03-07,中材国际,-0.02283119999999883,9.33585924,建筑装饰
2012-03-08,中材国际,0.6261302999999998,9.080699099999999,建筑装饰
2012-03-09,中材国际,0.2131551000000016,9.19827289,建筑装饰
2012-03-10,中材国际,-0.6717960000000005,9.31084354,建筑装饰
2012-03-13,中材国际,-1.0847711999999916,9.31084354,建筑装饰
2012-03-14,中材国际,-1.950054299999998,9.56850525,建筑装饰
2012-03-15,中材国际,-0.16049069999999688,9.5309817,建筑装饰
2012-03-16,中材国际,0.9211140000000028,9.13573364,建筑装饰
2012-03-17,中材国际,0.1934870999999987,9.05818497,建筑装饰
2012-03-20,中材国际,-0.4751390999999998,9.05818497,建筑装饰
2012-03-21,中材国际,-0.4161416999999972,9.27331999,建筑装饰
2012-03-22,中材国际,-0.750458100000003,9.41841105,建筑装饰
2012-03-23,中材国际,-0.9864443999999964,9.45093146,建筑装饰
2012-03-24,中材国际,-0.18015539999999675,9.3058404,建筑装饰
2012-03-27,中材国际,-1.1217707999999929,9.3058404,建筑装饰
2012-03-28,中材国际,-2.3534891999999985,9.86369051,建筑装饰
2012-03-29,中材国际,-0.9458081999999948,9.68607904,建筑装饰
2012-03-30,中材国际,0.16860510000000062,9.19326975,建筑装饰
2012-03-31,中材国际,-2.842268699999998,9.62604136,建筑装饰
2012-04-06,中材国际,-4.660522499999999,9.62604136,建筑装饰
2012-04-07,中材国际,-3.8198244000000017,10.36900765,建筑装饰
2012-04-10,中材国际,-3.1550856,10.36900765,建筑装饰
2012-04-11,中材国际,-2.8618178999999984,9.7811387,建筑装饰
2012-04-12,中材国际,-2.2361841000000027,9.86869365,建筑装饰
2012-04-13,中材国际,-2.764061999999996,9.87619836,建筑装饰
2012-04-14,中材国际,-3.0377804999999967,10.0312957,建筑装饰
2012-04-17,中材国际,-1.7865062999999992,10.0312957,建筑装饰
2012-04-18,中材国际,-1.2781775999999994,9.64855549,建筑装饰
2012-04-19,中材国际,-1.2781775999999994,9.60102566,建筑装饰
2012-04-20,中材国际,-2.822716199999995,9.94624232,建筑装饰
2012-04-21,中材国际,-2.6663061000000003,9.96375331,建筑装饰
2012-04-24,中材国际,-1.9038146999999979,9.96375331,建筑装饰
2012-04-25,中材国际,-2.529448500000001,9.74611672,建筑装饰
2012-04-26,中材国际,-3.350597399999998,9.97876273,建筑装饰
2012-04-27,中材国际,-2.314387499999995,9.99877529,建筑装饰
2012-04-28,中材国际,-2.4851294999999998,9.69858689,建筑装饰
2012-05-03,中材国际,-10.197614100000001,9.69858689,建筑装饰
2012-05-04,中材国际,-9.8137911,9.68357747,建筑装饰
2012-05-05,中材国际,-9.5107752,9.61853665,建筑装饰
2012-05-08,中材国际,-8.763335100000003,9.61853665,建筑装饰
2012-05-09,中材国际,-9.409768799999998,9.505966,建筑装饰
2012-05-10,中材国际,-8.015891700000001,9.38839221,建筑装饰
2012-05-11,中材国际,-7.753277700000003,9.24580272,建筑装饰
2012-05-12,中材国际,-7.8340815,9.2057776,建筑装饰
2012-05-15,中材国际,-7.470461099999998,9.2057776,建筑装饰
2012-05-16,中材国际,-6.925030500000003,8.973131590000003,建筑装饰
